FileCode,IMDBRating,Filename,Tokens,AWL,TTR,AMP,ANDC,[BEMA],[BYPA],CAUS,CONC,COND,CONJ,[CONT],DEMO,DEMP,DPAR,DWNT,EMPH,EX,FPP1,GER,HDG,INPR,JJ,NEMD,NN,NOMZ,OSUB,[PASS],[PASTP],[PEAS],PHC,PIN,[PIRE],PIT,PLACE,POMD,PRED,[PRESP],[PRIV],PRMD,[PROD],[PUBV],RB,[SERE],[SMP],[SPAU],[SPIN],SPP2,[STPR],[SUAV],SYNE,THAC,[THATD],THVC,TIME,TO,TOBJ,TPP3,TSUB,VBD,VPRT,[WHCL],[WHOBJ],[WHQU],[WHSUB],[WZPAST],[WZPRES],XX0
tt1713914,6.4,Alien Engineering Part 1_1713914,25067,4.65,234,0.04,0.27,0.96,0.04,0,0,0.16,0.01,1.56,0.31,0.34,0.03,0.15,0.28,0.14,1.62,0.49,0.03,0.07,5.71,0.06,33.89,1.12,0.01,0.45,0.16,0.12,1.03,9.87,0,1.26,1.2,0.22,0.39,0.43,1.05,0.22,0.09,0.1,2.41,0.01,0.07,0.06,0,0.97,0.4,0.15,0.12,0.01,0.15,0.02,0.21,0.72,0.02,5.07,0.08,1.21,8.82,0.06,0.01,0.12,0.02,0.14,0.46,0.41
tt0094631,6.3,Alien Nation_0094631,25600,4.41,245,0.13,0.61,1.18,0.06,0.05,0.03,0.14,0.02,1.68,0.59,0.46,0.08,0.15,0.4,0.18,1.91,0.6,0.03,0.13,4.54,0.09,29.57,0.77,0.04,0.42,0.07,0.25,0.7,9.54,0,1.37,1.16,0.29,0.4,0.61,1.56,0.31,0.15,0.2,3.56,0.01,0.06,0.19,0,1.38,0.38,0.38,0.09,0.01,0.36,0.05,0.46,1.17,0.02,4.63,0.04,1.31,9.41,0.13,0,0.1,0.05,0.06,0.48,0.76
tt0118583,6.2,Alien Resurrection_0118583,23197,4.27,235,0.11,0.51,1.31,0.04,0.03,0.01,0.13,0.02,2,0.34,0.39,0.06,0.3,0.83,0.27,1.98,0.5,0.03,0.09,4.53,0.08,26.59,0.67,0.06,0.42,0.08,0.21,0.45,9.12,0.01,2.25,1.07,0.57,0.46,0.62,1.33,0.26,0.14,0.09,4.15,0.03,0.05,0.13,0,0.95,0.61,0.23,0.16,0.01,0.28,0.03,0.34,1.39,0.03,5.44,0.07,0.78,9.57,0.05,0.01,0.12,0.02,0.04,0.56,0.84
tt9824546,6,Alien vs Predator_9824546,28663,4.68,251,0.05,0.48,1.12,0.04,0,0.05,0.1,0.03,2.32,0.31,0.35,0.03,0.14,0.4,0.24,1.24,0.68,0.04,0.08,5.14,0.07,32.63,1.42,0.06,0.44,0.12,0.15,0.56,9.97,0.01,1.9,1.52,0.25,0.37,0.6,0.89,0.21,0.09,0.09,3.1,0.03,0.11,0.09,0.02,0.48,0.31,0.14,0.09,0,0.16,0.03,0.33,0.85,0.01,3.97,0.04,0.89,8.6,0.04,0,0.13,0.02,0.1,0.51,0.44
tt7039058,6.8,Aliens vs Predator_7039058,28663,4.68,251,0.05,0.48,1.12,0.04,0,0.05,0.1,0.03,2.32,0.31,0.35,0.03,0.14,0.4,0.24,1.24,0.68,0.04,0.08,5.14,0.07,32.63,1.42,0.06,0.44,0.12,0.15,0.56,9.97,0.01,1.9,1.52,0.25,0.37,0.6,0.89,0.21,0.09,0.09,3.1,0.03,0.11,0.09,0.02,0.48,0.31,0.14,0.09,0,0.16,0.03,0.33,0.85,0.01,3.97,0.04,0.89,8.6,0.04,0,0.13,0.02,0.1,0.51,0.44
tt0090605,8.4,Aliens_0090605,28135,4.62,263,0.08,0.28,1.25,0.04,0.03,0.02,0.12,0.02,1.49,0.42,0.33,0.07,0.19,0.39,0.16,1.51,0.81,0.05,0.09,5.46,0.04,30.58,1.26,0.02,0.43,0.17,0.2,0.73,9.27,0.01,1.61,1.22,0.34,0.47,0.86,1.14,0.26,0.09,0.18,3.48,0.02,0.11,0.12,0,0.9,0.43,0.3,0.14,0,0.2,0.05,0.31,0.8,0.03,4.61,0.02,0.96,8.64,0.04,0.01,0.11,0.1,0.09,0.52,0.59
tt0078748,8.5,Alien_0078748,22559,4.46,212,0.14,0.66,1.5,0.03,0.02,0.02,0.15,0.01,2.4,0.5,0.46,0.08,0.2,0.44,0.3,2.48,0.61,0.12,0.08,4.09,0.16,28.93,0.82,0.07,0.56,0.08,0.23,0.64,9.44,0.01,2.58,0.75,0.71,0.57,0.5,1.27,0.47,0.08,0.11,3.52,0.05,0.13,0.16,0.01,0.67,0.42,0.16,0.09,0.02,0.17,0.08,0.44,1.06,0.04,3.46,0.04,0.95,9.07,0.1,0.02,0.15,0.04,0.05,0.22,0.73
tt0103644,6.4,Alien_0103644,21959,4.26,245,0.03,0.14,1.39,0.02,0.03,0.03,0.15,0.02,2,0.46,0.56,0.05,0.23,0.36,0.18,2.47,0.54,0.08,0.04,4.3,0.15,30.16,0.61,0.07,0.54,0.08,0.34,0.43,9.27,0,1.51,1,0.56,0.45,0.21,1.66,0.33,0.13,0.18,3.12,0,0.07,0.12,0,1.38,0.26,0.33,0.14,0,0.31,0.06,0.31,1.26,0.01,5.4,0.1,1.83,9.25,0.14,0,0.16,0.06,0.12,0.32,0.98
tt0248667,6.7,Ali_0248667,32686,4.31,221,0.05,0.71,1.62,0.07,0.03,0,0.17,0.06,2.48,0.39,0.38,0.18,0.14,0.3,0.14,2.67,0.39,0.01,0.08,4.28,0.06,33.42,0.86,0.08,0.43,0.07,0.18,0.76,8.63,0.02,0.96,0.48,0.4,0.54,0.37,1.38,0.33,0.18,0.27,2.86,0.04,0.05,0.06,0,1.97,0.35,0.19,0.2,0.01,0.29,0.05,0.33,0.98,0.03,4.34,0.08,1.43,9.04,0.08,0.02,0.12,0.06,0.04,0.33,1.08
tt0042192,8.2,All About Eve_0042192,30076,4.11,206,0.14,0.69,2.07,0.01,0.06,0.01,0.28,0.06,3.39,0.62,0.47,0.14,0.16,0.83,0.27,4.01,0.47,0.05,0.16,3.73,0.19,25.6,0.66,0.08,0.43,0.05,0.45,0.58,7.9,0.05,1.8,0.45,0.59,0.7,0.17,1.8,0.97,0.2,0.58,4.34,0.02,0.08,0.2,0,2.79,0.35,0.19,0.24,0.03,0.38,0.13,0.51,1.44,0.05,4.38,0.04,2.35,9.35,0.13,0.02,0.19,0.11,0.04,0.16,1.66
